ano,semana,distrito,ubigeo,total_casos,temp_min_semana,population,temp_min_lag1,temp_min_lag2,temp_min_lag3,temp_min_lag4,temp_min_lag5,temp_min_lag6,temp_min_lag7
2017,3,MORONA,160704.0,0,21.89180100494608,4191,21.55930644310816,21.86027306234591,,,,,
2017,3,NAPO,160107.0,1,22.585120712269585,15003,22.018131438517383,22.37453408977684,,,,,
2017,3,NAUTA,160301.0,1,22.707997886402723,29963,22.464239956747928,22.558715194561877,,,,,
2017,3,PADRE MARQUEZ,160603.0,0,22.49283082638461,3697,21.92299267765301,22.04411290481657,,,,,
2017,3,PAMPA HERMOSA,160604.0,0,19.78941979074594,5388,19.857855273739748,19.52753772345344,,,,,
2017,3,PARINARI,160302.0,0,22.407253360106445,6085,22.377130657061272,22.352927029187896,,,,,
2017,3,PASTAZA,160705.0,0,21.972495311494544,5078,22.526145199299183,22.14762646567732,,,,,
2017,3,PEBAS,160402.0,0,22.671123556422742,11079,22.089702924603003,22.34474205436665,,,,,
2017,3,PUINAHUA,160506.0,0,22.36125665832133,4372,22.10449522386729,22.301910980101045,,,,,
2017,3,PUNCHANA,160108.0,7,22.47459170649216,75210,22.48872156163342,22.24924085014293,,,,,
2017,3,PUTUMAYO,160801.0,0,22.6537786533264,3666,21.968518373618583,22.639759157861043,,,,,
2017,3,RAMON CASTILLA,160401.0,1,22.531633373054103,19178,22.454269990364786,22.561358448492346,,,,,
2017,3,REQUENA,160501.0,1,22.669983733752822,25313,22.578576724761465,22.45997341635163,,,,,
2017,3,ROSA PANDURO,160802.0,0,22.31275043763865,520,21.67212285697963,22.29236498744605,,,,,
2017,3,SAN JUAN BAUTISTA,160113.0,5,22.078027552585915,127005,22.354088100158563,22.38451035502874,,,,,
2017,3,SAN PABLO,160404.0,0,22.70052166102681,10449,22.31002000760786,22.650838498314087,,,,,
2017,3,SANTA CRUZ,160210.0,0,21.495316706301708,3967,22.064159673028016,22.135189430163877,,,,,
2017,3,SAQUENA,160507.0,1,22.481090681023684,3365,22.388082924257343,22.19718874426535,,,,,
2017,3,SARAYACU,160605.0,0,21.84710429302412,13464,22.077713571038164,21.960693800369636,,,,,
2017,3,SOPLIN,160508.0,0,21.91202123461479,569,22.058633674172818,21.73552838181597,,,,,
2017,3,TAPICHE,160509.0,0,22.17117735790725,881,22.293846518163544,22.07957674662273,,,,,
2017,3,TENIENTE CESAR LOPEZ ROJAS,160211.0,0,21.88904648851045,5564,21.802410986080204,22.0737595761216,,,,,
2017,3,TENIENTE MANUEL CLAVERO,160803.0,0,22.30540375045221,2317,21.653389447299823,21.75536816477902,,,,,
2017,3,TIGRE,160303.0,0,22.147311459630245,6448,21.92751099072889,22.14005300104887,,,,,
2017,3,TORRES CAUSANA,160110.0,0,22.40627815147446,4230,21.73312334692545,22.149040360108977,,,,,
2017,3,TROMPETEROS,160304.0,0,21.610997576005577,8396,21.746668743248904,21.810631549330903,,,,,
2017,3,URARINAS,160305.0,0,22.11909755156235,11545,22.19946182382377,22.27497749307641,,,,,
2017,3,VARGAS GUERRA,160606.0,0,22.18209879161796,6467,22.01552377656025,21.580244467758668,,,,,
2017,3,YAQUERANA,160511.0,0,22.318022760919195,1929,22.23870936939091,22.133346509661564,,,,,
2017,3,YAVARI,160403.0,0,22.48013367935211,8366,22.19568927335854,22.339399909300557,,,,,
2017,3,YURIMAGUAS,160201.0,10,21.44736381670376,83554,21.502630795908978,21.76542293355593,,,,,
2017,4,ALTO NANAY,160102.0,0,22.02095833453626,2855,22.393342936870084,22.137861916290017,22.09838829684601,,,,
2017,4,ALTO TAPICHE,160502.0,0,20.99106215627487,1515,22.01536789130128,21.63057011007628,20.76927030783625,,,,
2017,4,ANDOAS,160706.0,0,21.35598913058744,11714,21.574767184432115,21.978283561663755,21.73222719098302,,,,
2017,4,BALSAPUERTO,160202.0,0,19.17103052845145,13707,19.56190087667686,19.404611487176265,20.01802467118852,,,,
2017,4,BARRANCA,160701.0,0,19.73486685865136,12742,19.512874126639595,20.23033878289348,20.25169471756149,,,,
2017,4,BELEN,160112.0,6,22.44485078209624,64488,22.56753649866337,22.499559662405392,22.61204463092277,,,,
