"ano","semana","distrito","total_casos","temp_min_semana","population"
2017,33,"PUNCHANA",1,22.8408941276406,75210
2017,33,"SAN JUAN BAUTISTA",1,23.0235720027029,127005
2017,33,"TIGRE",1,22.1581153990614,6448
2017,33,"YURIMAGUAS",4,22.2584393619336,83554
2017,34,"IQUITOS",4,21.4211300212875,146853
2017,34,"PUNCHANA",1,21.1926289142456,75210
2017,34,"SAN JUAN BAUTISTA",3,21.3152401342807,127005
2017,35,"ALTO NANAY",1,22.2184056652134,2855
2017,35,"IQUITOS",1,22.9185702036178,146853
2017,35,"SAN JUAN BAUTISTA",3,22.7232040618699,127005
2017,35,"YURIMAGUAS",1,21.653505014475,83554
2017,36,"IQUITOS",1,23.3819846131899,146853
2017,36,"NAUTA",1,23.3498239752793,29963
2017,36,"SAN JUAN BAUTISTA",3,23.0233040111839,127005
2017,36,"YURIMAGUAS",2,21.6313788965264,83554
2017,37,"BELEN",1,23.2474248947999,64488
2017,37,"IQUITOS",5,22.865021865704,146853
2017,37,"SAN JUAN BAUTISTA",7,22.7991691824583,127005
2017,37,"YURIMAGUAS",1,22.5540697966248,83554
2017,38,"IQUITOS",3,22.3547510722566,146853
2017,38,"SAN JUAN BAUTISTA",6,22.2218353399999,127005
2017,38,"YURIMAGUAS",3,21.2542455568509,83554
2017,39,"ALTO NANAY",1,22.3882679215189,2855
2017,39,"IQUITOS",3,22.7999700091416,146853
2017,39,"PUNCHANA",2,22.6660342911094,75210
2017,39,"SAN JUAN BAUTISTA",6,22.6828679131106,127005
2017,40,"IQUITOS",1,22.7895692847934,146853
2017,40,"PUNCHANA",2,22.4758598624707,75210
2017,40,"SAN JUAN BAUTISTA",3,22.6228692047721,127005
2017,40,"YURIMAGUAS",3,21.2397515139873,83554
2017,41,"BARRANCA",1,19.6254975300685,12742
2017,41,"IQUITOS",2,22.577180491009,146853
2017,41,"SAN JUAN BAUTISTA",2,22.3453339637393,127005
2017,41,"YURIMAGUAS",6,21.1295326191848,83554
2017,42,"IQUITOS",2,22.4397066621441,146853
2017,42,"PUNCHANA",1,22.419152597139,75210
2017,42,"SAN JUAN BAUTISTA",3,22.1866442993183,127005
2017,42,"YURIMAGUAS",6,21.2137841954555,83554
2017,43,"BELEN",1,22.3185228285888,64488
2017,43,"IQUITOS",5,21.9326209549533,146853
2017,43,"PUNCHANA",1,21.9749689159169,75210
2017,43,"SAN JUAN BAUTISTA",5,21.4859806252989,127005
2017,43,"YURIMAGUAS",3,21.8485346339363,83554
2017,44,"BARRANCA",2,20.5457037630966,12742
2017,44,"BELEN",3,23.5681037407709,64488
2017,44,"IQUITOS",4,23.3849199096519,146853
2017,44,"PUNCHANA",1,23.1775023695569,75210
2017,44,"RAMON CASTILLA",1,23.0213710374759,19178
2017,44,"SAN JUAN BAUTISTA",12,22.9460854805579,127005
2017,44,"YURIMAGUAS",5,22.2869438606648,83554
2017,45,"BARRANCA",1,20.4806157399163,12742
2017,45,"BELEN",3,23.3543109004828,64488
2017,45,"IQUITOS",5,23.0315948084252,146853
2017,45,"PUNCHANA",1,23.1009324810421,75210
2017,45,"SAN JUAN BAUTISTA",54,22.8985950825107,127005
2017,45,"YURIMAGUAS",2,22.1885566374714,83554
2017,46,"BELEN",3,23.4965160178576,64488
2017,46,"IQUITOS",5,23.299284589966,146853
2017,46,"LAGUNAS",1,22.5542699019846,12033
2017,46,"SAN JUAN BAUTISTA",68,23.0660348672762,127005
2017,46,"YURIMAGUAS",2,22.3364614924009,83554
2017,47,"BELEN",3,23.423437536009,64488
2017,47,"IQUITOS",5,23.0291640772964,146853
2017,47,"SAN JUAN BAUTISTA",41,22.8391492453782,127005
2017,47,"YURIMAGUAS",4,21.3786734163184,83554
2017,48,"ALTO NANAY",1,22.5621955645776,2855
2017,48,"BELEN",4,23.6547615096281,64488
2017,48,"IQUITOS",4,23.2051791747725,146853
2017,48,"PUNCHANA",2,22.8426620561696,75210
2017,48,"SAN JUAN BAUTISTA",60,23.1012458001497,127005
2017,48,"YURIMAGUAS",2,21.6684282152979,83554
2017,49,"BARRANCA",2,20.2196297660683,12742
2017,49,"IQUITOS",3,23.2146860034727,146853
2017,49,"PUNCHANA",3,23.0448143394556,75210
2017,49,"SAN JUAN BAUTISTA",52,22.9382463688993,127005
2017,49,"YURIMAGUAS",2,22.4879931496086,83554
2017,50,"BELEN",3,23.6265109531999,64488
2017,50,"IQUITOS",3,23.0644126037678,146853
2017,50,"PUNCHANA",2,22.8226934873407,75210
2017,50,"SAN JUAN BAUTISTA",33,23.0672601280723,127005
2017,50,"SOPLIN",1,22.4023379945877,569
2017,50,"YURIMAGUAS",2,22.3914501966265,83554
2017,51,"BARRANCA",1,20.3082253465259,12742
2017,51,"BELEN",1,22.8541971122269,64488
2017,51,"IQUITOS",2,22.6273488161592,146853
2017,51,"REQUENA",1,21.8662930559623,25313
2017,51,"SAN JUAN BAUTISTA",27,22.2299505969567,127005
2017,52,"BELEN",1,22.9107687350923,64488
2017,52,"IQUITOS",2,22.9118542657382,146853
2017,52,"NAPO",1,22.1685711131286,15003
2017,52,"PUNCHANA",4,22.73335900691,75210
2017,52,"REQUENA",1,22.8546132939988,25313
2017,52,"SAN JUAN BAUTISTA",14,22.8567374312191,127005
2018,1,"BARRANCA",1,20.1626026885754,15214
2018,1,"BELEN",5,22.6361536639279,70503
2018,1,"IQUITOS",2,22.2636383297887,162450
2018,1,"JENARO HERRERA",14,22.5634557955985,5084
2018,1,"PUNCHANA",3,22.1930400034326,86608
2018,1,"SAN JUAN BAUTISTA",11,22.0287517568835,143054
2018,1,"SAQUENA",1,22.4896262459872,3426
2018,1,"YURIMAGUAS",1,21.7045121799629,96151
2018,2,"BELEN",1,22.6168309394589,70503
2018,2,"IQUITOS",3,22.4650103180776,162450
2018,2,"JENARO HERRERA",15,22.1727523544014,5084
2018,2,"LAS AMAZONAS",1,22.3063095861517,8790
2018,2,"SAN JUAN BAUTISTA",8,22.1343437338256,143054
2018,2,"YURIMAGUAS",1,21.5956215586421,96151
2018,3,"BARRANCA",1,19.122000661049,15214
2018,3,"BELEN",1,21.8901739384924,70503
2018,3,"EMILIO SAN MARTIN",1,22.2374200082467,6851
2018,3,"IQUITOS",3,21.7205000242854,162450
2018,3,"JENARO HERRERA",14,22.4224249523475,5084
2018,3,"NAUTA",2,22.1156092366084,32622
